Date,Housing Starts,Change %
1959-10-01,1355,-12.012987012987008
1960-03-01,1109,-26.2142381902861
1960-09-01,1097,-18.377976190476186
1960-12-01,1063,-14.68699839486356
1961-04-01,1166,-11.12804878048781
1962-09-01,1324,-12.722478576137108
1963-01-01,1244,-20.46035805626598
1964-03-01,1517,-16.648351648351646
1966-01-01,1370,-17.27053140096618
1966-10-01,843,-19.40726577437859
1967-12-01,1308,-14.954486345903772
1969-07-01,1368,-10.471204188481675
1969-11-01,1229,-11.006517016654593
1970-01-01,1085,-18.23662396382818
1973-04-01,2084,-11.88160676532769
1973-10-01,1677,-10.512273212379942
1973-12-01,1526,-11.484918793503486
1974-03-01,1555,-11.24429223744292
1974-05-01,1426,-11.263223397635347
1974-07-01,1316,-13.02048909451421
1974-08-01,1142,-13.221884498480241
1975-02-01,904,-12.4031007751938
1977-01-01,1527,-15.354767184035477
1978-01-01,1718,-19.79458450046685
1979-01-01,1630,-20.25440313111546
1980-01-01,1341,-10.480640854472634
1980-03-01,1047,-22.444444444444443
1980-05-01,927,-11.79828734538535
1981-02-01,1246,-19.457013574660632
1981-05-01,1140,-16.176470588235293
1982-06-01,902,-12.0
1982-08-01,1046,-10.291595197255576
1983-09-01,1710,-10.471204188481675
1984-03-01,1663,-26.41592920353982
1987-10-01,1515,-10.619469026548678
1987-12-01,1400,-15.458937198067634
1989-02-01,1425,-12.091301665638499
1990-03-01,1289,-10.299234516353517
1990-12-01,969,-15.371179039301309
1991-01-01,798,-17.647058823529417
1992-04-01,1099,-15.265998457979958
1993-03-01,1083,-10.495867768595046
1994-01-01,1272,-17.025440313111552
2002-03-01,1642,-10.224166211044283
2003-02-01,1629,-12.088505126821369
2004-11-01,1782,-13.996138996138995
2005-03-01,1864,-15.541458994109647
2006-10-01,1491,-13.313953488372087
2007-01-01,1409,-14.554275318374776
2007-09-01,1183,-11.05263157894737
2007-12-01,1037,-13.366750208855471
2008-07-01,923,-11.759082217973226
2008-11-01,652,-16.087516087516086
2008-12-01,560,-14.110429447852757
2009-01-01,490,-12.5
2009-03-01,505,-13.230240549828176
2010-05-01,583,-15.138282387190682
2011-02-01,517,-17.93650793650794
2013-04-01,835,-17.32673267326733
2014-01-01,888,-11.377245508982037
2015-02-01,886,-18.34101382488479
2015-10-01,1058,-13.56209150326797
2016-11-01,1140,-13.175932977913174
2018-06-01,1192,-12.159174649963155
2020-03-01,1266,-18.269851517107817
2020-04-01,936,-26.066350710900476
2021-02-01,1404,-13.865030674846624
2021-04-01,1495,-11.851415094339623
2022-05-01,1531,-15.879120879120878
2022-07-01,1381,-10.960670535138616
2023-06-01,1421,-10.290404040404045
2024-03-01,1312,-15.463917525773196
2025-01-01,1358,-10.303830911492739
2025-03-01,1339,-10.134228187919458
